Age,Age_Group,Job,Marital_Status,Education,Has_Credit_Default,Has_Housing_Loan,Has_Personal_Loan,Contact_Type,Contact_Month,Contact_Day,Call_Duration_Seconds,Call_Duration_Minutes,Campaign_Contacts,Campaign_Contact_Group,Days_Since_Previous_Contact,Previous_Contact_Status,Days_Since_Previous_Contact_Clean,Previous_Contacts,Previous_Campaign_Outcome,Employment_Variation_Rate,Consumer_Price_Index,Consumer_Confidence_Index,Euribor_3_Month,Number_Employed,Subscribed_Term_Deposit,Subscribed_Flag
54,45-54,Admin,Married,High School,No,No,No,telephone,may,mon,160,2.67,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
39,35-44,Housemaid,Married,Basic 4 Years,No,No,Yes,telephone,may,mon,266,4.43,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
60,55-64,Admin,Married,High School,No,No,No,telephone,may,mon,253,4.22,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
53,45-54,Admin,Single,Professional Course,No,No,No,telephone,may,mon,179,2.98,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Blue Collar,Married,Basic 4 Years,Unknown,No,No,telephone,may,mon,269,4.48,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Technician,Married,Professional Course,Unknown,Yes,No,telephone,may,mon,135,2.25,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
50,45-54,Management,Married,University Degree,Unknown,No,Yes,telephone,may,mon,161,2.68,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
45,45-54,Services,Married,High School,Unknown,Yes,No,telephone,may,mon,787,13.12,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Unemployed,Married,Professional Course,Unknown,Yes,Yes,telephone,may,mon,145,2.42,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
25,25-34,Technician,Single,University Degree,No,Yes,No,telephone,may,mon,174,2.9,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
47,45-54,Entrepreneur,Married,University Degree,Unknown,No,No,telephone,may,mon,449,7.48,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
51,45-54,Blue Collar,Married,Basic 9 Years,No,Yes,No,telephone,may,mon,812,13.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Blue Collar,Married,Basic 6 Years,Unknown,Yes,No,telephone,may,mon,164,2.73,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Blue Collar,Married,Basic 6 Years,Unknown,No,No,telephone,may,mon,366,6.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
48,45-54,Admin,Married,High School,No,No,No,telephone,may,mon,357,5.95,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Admin,Married,University Degree,No,No,No,telephone,may,mon,232,3.87,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
44,35-44,Blue Collar,Single,Basic 9 Years,No,Yes,No,telephone,may,mon,91,1.52,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
33,25-34,Admin,Married,Unknown,No,Yes,No,telephone,may,mon,273,4.55,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
56,55-64,Admin,Married,Basic 9 Years,No,Yes,No,telephone,may,mon,158,2.63,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
44,35-44,Blue Collar,Single,Basic 4 Years,Unknown,Yes,Yes,telephone,may,mon,177,2.95,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Management,Married,Basic 6 Years,No,No,No,telephone,may,mon,200,3.33,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
44,35-44,Management,Divorced,University Degree,No,Yes,No,telephone,may,mon,172,2.87,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
47,45-54,Admin,Married,University Degree,Unknown,Yes,No,telephone,may,mon,176,2.93,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Unknown,Married,Unknown,Unknown,No,No,telephone,may,mon,211,3.52,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Admin,Married,University Degree,Unknown,Yes,No,telephone,may,mon,214,3.57,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Blue Collar,Divorced,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,1575,26.25,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Subscribed,1
55,55-64,Technician,Married,University Degree,No,No,No,telephone,may,mon,349,5.82,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
33,25-34,Services,Married,High School,Unknown,Yes,No,telephone,may,mon,337,5.62,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Management,Married,Unknown,Unknown,Yes,No,telephone,may,mon,272,4.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Blue Collar,Married,Basic 9 Years,Unknown,No,No,telephone,may,mon,208,3.47,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
50,45-54,Blue Collar,Married,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,193,3.22,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
51,45-54,Blue Collar,Married,Basic 4 Years,Unknown,Unknown,Unknown,telephone,may,mon,212,3.53,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
38,35-44,Admin,Married,High School,Unknown,No,No,telephone,may,mon,165,2.75,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
49,45-54,Entrepreneur,Married,University Degree,Unknown,Yes,No,telephone,may,mon,1042,17.37,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Subscribed,1
38,35-44,Technician,Single,University Degree,No,No,Yes,telephone,may,mon,20,0.33,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
31,25-34,Admin,Divorced,High School,No,No,No,telephone,may,mon,246,4.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Management,Married,Basic 6 Years,No,No,No,telephone,may,mon,529,8.82,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
39,35-44,Admin,Married,University Degree,No,Yes,Yes,telephone,may,mon,192,3.2,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
49,45-54,Technician,Married,Basic 9 Years,No,No,No,telephone,may,mon,1467,24.45,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Subscribed,1
34,25-34,Admin,Married,High School,No,Yes,No,telephone,may,mon,188,3.13,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Admin,Married,University Degree,No,Yes,No,telephone,may,mon,180,3,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Unknown,Married,Unknown,Unknown,Yes,No,telephone,may,mon,48,0.8,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
60,55-64,Admin,Married,Unknown,Unknown,No,Yes,telephone,may,mon,213,3.55,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
33,25-34,Unemployed,Married,Basic 9 Years,No,No,No,telephone,may,mon,545,9.08,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Blue Collar,Married,Basic 6 Years,No,No,Yes,telephone,may,mon,583,9.72,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
45,45-54,Services,Married,Professional Course,No,Yes,No,telephone,may,mon,221,3.68,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Management,Married,University Degree,No,No,No,telephone,may,mon,426,7.1,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
53,45-54,Admin,Divorced,University Degree,Unknown,No,No,telephone,may,mon,287,4.78,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Technician,Single,Professional Course,No,No,No,telephone,may,mon,197,3.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
44,35-44,Blue Collar,Married,Basic 6 Years,No,No,No,telephone,may,mon,257,4.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Services,Married,Unknown,No,Yes,No,telephone,may,mon,229,3.82,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
49,45-54,Blue Collar,Married,Basic 4 Years,No,No,No,telephone,may,mon,55,0.92,3,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
54,45-54,Services,Married,Unknown,No,No,No,telephone,may,mon,400,6.67,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
52,45-54,Admin,Divorced,University Degree,No,No,No,telephone,may,mon,197,3.28,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
52,45-54,Admin,Divorced,University Degree,No,No,No,telephone,may,mon,190,3.17,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
43,35-44,Services,Single,High School,Unknown,No,No,telephone,may,mon,21,0.35,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
34,25-34,Housemaid,Married,Basic 6 Years,No,Yes,No,telephone,may,mon,300,5,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Admin,Married,High School,No,Yes,No,telephone,may,mon,123,2.05,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
42,35-44,Entrepreneur,Married,Unknown,Unknown,Yes,No,telephone,may,mon,293,4.88,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
43,35-44,Technician,Married,Unknown,Unknown,Yes,Yes,telephone,may,mon,325,5.42,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
60,55-64,Retired,Divorced,University Degree,Unknown,No,No,telephone,may,mon,514,8.57,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
58,55-64,Unemployed,Married,Basic 4 Years,Unknown,No,No,telephone,may,mon,849,14.15,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
35,35-44,Services,Divorced,High School,No,Yes,No,telephone,may,mon,194,3.23,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
55,55-64,Blue Collar,Married,Basic 9 Years,Unknown,Yes,No,telephone,may,mon,212,3.53,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
37,35-44,Management,Married,University Degree,No,No,No,telephone,may,mon,337,5.62,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
36,35-44,Blue Collar,Married,High School,No,No,No,telephone,may,mon,286,4.77,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
52,45-54,Admin,Divorced,University Degree,No,No,No,telephone,may,mon,247,4.12,2,2-3 Contacts,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
57,55-64,Blue Collar,Divorced,Unknown,Unknown,Yes,No,telephone,may,mon,518,8.63,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
56,55-64,Admin,Married,Unknown,No,Yes,No,telephone,may,mon,364,6.07,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
48,45-54,Blue Collar,Divorced,Basic 4 Years,Unknown,Yes,No,telephone,may,mon,178,2.97,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
40,35-44,Blue Collar,Married,High School,Unknown,Yes,No,telephone,may,mon,98,1.63,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
49,45-54,Blue Collar,Divorced,High School,No,No,No,telephone,may,mon,439,7.32,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
41,35-44,Services,Married,High School,No,No,No,telephone,may,mon,139,2.32,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
45,45-54,Technician,Married,High School,No,Yes,No,telephone,may,mon,79,1.32,1,1 Contact,999,Not Previously Contacted,,0,No Previous Contact,1.1,93.994,-36.4,4.857,"5,191.",Not Subscribed,0
